,item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,ND,MSIS,QuantileLoss[0.025],Coverage[0.025],QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.25],Coverage[0.25],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.75],Coverage[0.75],QuantileLoss[0.9],Coverage[0.9],QuantileLoss[0.975],Coverage[0.975],RMSE,NRMSE,wQuantileLoss[0.025],wQuantileLoss[0.1],wQuantileLoss[0.25],wQuantileLoss[0.5],wQuantileLoss[0.75],wQuantileLoss[0.9],wQuantileLoss[0.975],mean_absolute_QuantileLoss,mean_wQuantileLoss,MAE_Coverage,OWA,param
8,LK Amberg-Sulzbach {1},2018-01-22/2018-01-28,751.7545103092783,839.0,1637.0,16.876288659793815,1.8349753694581281,4.713678821006019,0.6413966908174402,0.7655854611783415,0.5125229358673096,81.58203833114233,68.15,0.0,224.2,0.0,437.0,0.030927835051546393,839.0,0.17525773195876287,1134.5,0.4742268041237113,1000.5999999999998,0.6701030927835051,657.9000000000001,0.9072164948453608,,,,,,,,,,,,,,"cl 4, nl 8, nc 128, ep 2"
0,aggregated {1},,856.9525284143433,270820.0,528476.0,13.288307769675637,1.4529494226422477,4.707584620595825,0.7568665788807645,0.9052887905513921,0.5124546810072738,72.93167705167714,22362.9,0.0013075182298214734,77798.0,0.007166205682675369,164272.5,0.033542871511189246,270820.0,0.14121196882071946,330090.5,0.3605984410359569,285886.2,0.5800603469952226,178695.55000000005,0.8433241136535072,29.27375152614272,2.2029706139818948,0.04231582891181435,0.1472119831364149,0.31084193038094443,0.5124546810072738,0.6246083076620319,0.5409634496173904,0.338133709004761,189989.3785714286,0.3595042699600901,0.21896979058155822,,"cl 4, nl 8, nc 128, ep 2"
8,LK Amberg-Sulzbach {2},2018-01-22/2018-01-28,904.2558795103092,964.0,1637.0,16.876288659793815,1.8349753694581281,5.415955165017643,0.8189006132238051,0.7623367309570312,0.5888820886611938,91.75661800318274,67.3,0.0,234.39999999999998,0.010309278350515464,510.0,0.05154639175257732,964.0,0.17525773195876287,1240.5,0.4742268041237113,1130.6,0.6597938144329897,749.3000000000003,0.9072164948453608,,,,,,,,,,,,,,"cl 4, nl 8, nc 128, ep 2"
0,aggregated {2},,1157.3938470538787,311585.0,528476.0,13.288307769675637,1.4529494226422477,5.317187603419977,0.8314265716100171,0.952899688615485,0.5895915803177438,97.42222016935274,23221.300000000003,0.0016846869499622826,81501.4,0.00895147095800853,178189.5,0.03904953482524506,311585.0,0.14950968066381728,388621.5,0.3622076942418913,353661.0,0.5769424189087248,248367.55000000005,0.8373648478752828,34.020491575723575,2.56018239232534,0.043940122162595845,0.15421968074236103,0.3371761442336076,0.5895915803177438,0.7353626276311507,0.6692091977686783,0.4699694025840342,226449.60714285713,0.42849553649145317,0.2177556665110097,,"cl 4, nl 8, nc 128, ep 2"
8,LK Amberg-Sulzbach {3},2018-01-22/2018-01-28,1103.5910115979382,1115.0,1637.0,16.876288659793815,1.8349753694581281,6.264304988583685,0.8531225989846623,0.8185173240867821,0.6811240315437317,111.2518093129454,67.9,0.0,238.4,0.020618556701030927,574.0,0.09278350515463918,1115.0,0.18556701030927836,1381.0,0.4845360824742268,1274.8,0.6804123711340206,922.2000000000002,0.8969072164948454,,,,,,,,,,,,,,"cl 4, nl 8, nc 128, ep 2"
0,aggregated {3},,1412.6357381124797,351449.0,528476.0,13.288307769675637,1.4529494226422477,5.907431491625854,0.9128429370059438,0.9995558054468311,0.6650235772296188,110.98572989007626,23913.65,0.0018606990193613278,86430.0,0.011817953231078678,195696.0,0.04752325873774188,351449.0,0.15652501885843642,434956.0,0.3605732964546142,397618.6,0.5717123459894392,284554.15,0.835981895901432,37.58504673553672,2.8284298788824755,0.04525021003792036,0.163545742853034,0.3703025302946586,0.6650235772296188,0.8230383215131813,0.7523872418047366,0.5384428999613985,253516.7714285714,0.47971293195636405,0.2162865045439852,,"cl 4, nl 8, nc 128, ep 2"
8,LK Amberg-Sulzbach {4},2018-01-22/2018-01-28,1175.917606314433,1212.0,1637.0,16.876288659793815,1.8349753694581281,6.809271431536705,1.0748508677763098,0.9670966148376465,0.740378737449646,99.84122327544455,69.85,0.0,249.60000000000002,0.010309278350515464,610.5,0.07216494845360824,1212.0,0.2268041237113402,1471.5,0.4845360824742268,1270.3999999999999,0.6597938144329897,818.7000000000003,0.9278350515463918,,,,,,,,,,,,,,"cl 4, nl 8, nc 128, ep 2"
0,aggregated {4},,1562.628951022287,378581.0,528476.0,13.288307769675637,1.4529494226422477,6.311572188346802,0.9743605883448385,1.0400794179161315,0.7163636570061839,116.91110084248082,24298.15,0.002665325622328387,89632.0,0.01408096555192353,209234.0,0.05152124717123445,378581.0,0.16261000754337468,464278.0,0.358888609504652,420370.0,0.5683932612521995,299907.25,0.8296454614030672,39.53010183420082,2.9748033022240676,0.045977773825112214,0.16960467457367978,0.39591958764447205,0.7163636570061839,0.8785223926914373,0.7954382034378098,0.5674945503674718,269471.4857142857,0.5099029770780238,0.21602787456446007,,"cl 4, nl 8, nc 128, ep 2"
8,LK Amberg-Sulzbach {1},2018-01-22/2018-01-28,661.9811130798969,772.0,1637.0,16.876288659793815,1.8349753694581281,4.337258700615789,0.6657810211181641,0.8205858531751131,0.4715943932533264,72.97493945893586,72.45,0.0,252.60000000000002,0.0,481.0,0.010309278350515464,772.0,0.17525773195876287,980.0,0.4020618556701031,883.0,0.5670103092783505,577.0000000000002,0.711340206185567,,,,,,,,,,,,,,"cl 4, nl 8, nc 128, ep 4"
0,aggregated {1},,832.7271363770329,269122.0,528476.0,13.288307769675637,1.4529494226422477,4.739629356131094,0.7434993829334967,0.924596629251165,0.5092416684958258,67.9899269413942,23415.850000000002,0.0010812169977369882,82438.4,0.005632386220769414,172128.0,0.029041991450842266,269122.0,0.1336434498365605,321134.5,0.3148604475735482,274493.19999999995,0.4706311289917022,162396.50000000003,0.6385466431983908,28.8570119100546,2.1716092380029957,0.044308256193280306,0.1559927035475594,0.3257063707718042,0.5092416684958258,0.6076614642859846,0.5194052331610138,0.30729210030351434,186446.92142857143,0.35280111382271173,0.27236610510434994,,"cl 4, nl 8, nc 128, ep 4"
