LK Ludwigslust-Parchim,213577
SK Chemnitz,240543
LK Erzgebirgskreis,359103
LK Mittelsachsen,320062
LK Vogtlandkreis,238443
LK Zwickau,333291
SK Dresden,517765
LK Bautzen,313618
LK Görlitz,267815
LK Meißen,246237
LK Sächsische Schweiz-Osterzgebirge,246275
SK Leipzig,510043
LK Leipzig,260925
LK Nordsachsen,200062
SK Dessau-Roßlau,85488
SK Halle,230494
SK Magdeburg,228910
LK Altmarkkreis Salzwedel,87624
LK Anhalt-Bitterfeld,170827
LK Börde,175198
LK Burgenlandkreis,188149
LK Harz,225191
LK Jerichower Land,93242
LK Mansfeld-Südharz,146659
LK Saalekreis,190747
LK Salzlandkreis,203785
LK Stendal,118268
LK Wittenberg,132154
SK Erfurt,201952
SK Gera,95746
SK Jena,106428
SK Suhl,36570
SK Weimar,62886
LK Eichsfeld,101906
LK Nordhausen,86734
LK Wartburgkreis,128105
LK Unstrut-Hainich-Kreis,105683
LK Kyffhäuserkreis,79464
LK Schmalkalden-Meiningen,127042
LK Gotha,135986
LK Sömmerda,71544
LK Hildburghausen,66007
LK Ilm-Kreis,110135
LK Weimarer Land,82458
LK Sonneberg,58465
LK Saalfeld-Rudolstadt,112555
LK Saale-Holzland-Kreis,84677
LK Saale-Orla-Kreis,85259
LK Greiz,104464
LK Altenburger Land,95829
SK Berlin Mitte,322260
SK Berlin Friedrichshain-Kreuzberg,254695
SK Berlin Pankow,358505
SK Berlin Charlottenburg-Wilmersdorf,293527
SK Berlin Spandau,216105
SK Berlin Steglitz-Zehlendorf,278936
SK Berlin Tempelhof-Schöneberg,319274
SK Berlin Neukölln,303045
SK Berlin Treptow-Köpenick,239472
SK Berlin Marzahn-Hellersdorf,245929
SK Berlin Lichtenberg,254188
SK Berlin Reinickendorf,240066
